"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fam49b",7.62575794590503e-64,1.0690596054181,0.69,0.042,1.26480821290781e-59,"11","Fam49b"
"Cd441",1.0758715689565e-63,1.31549483589269,0.414,0.015,1.78444058427126e-59,"11","Cd44"
"Arhgdib1",1.64556451661403e-59,1.98146335942055,0.897,0.086,2.72933330725602e-55,"11","Arhgdib"
"Pycard",3.64216691904448e-58,0.65652855277361,0.552,0.029,6.04089805192717e-54,"11","Pycard"
"Fermt3",1.92452836875648e-57,0.510664265423488,0.379,0.014,3.1920227524195e-53,"11","Fermt3"
"Nabp1",5.79619596126021e-56,1.07718995178861,0.517,0.027,9.61357062134618e-52,"11","Nabp1"
"Mxd1",1.20032518782734e-52,1.55484315334617,0.586,0.037,1.99085935653043e-48,"11","Mxd1"
"Rinl",1.44672592777561e-52,0.566712125893325,0.414,0.018,2.39953962380862e-48,"11","Rinl"
"Gpsm3",4.52408212652956e-52,1.18519884879503,0.586,0.038,7.50364261506193e-48,"11","Gpsm3"
"AI467606",2.18011141671144e-51,0.42661611477203,0.31,0.01,3.61593279575759e-47,"11","AI467606"
"Prkca2",2.50750451440418e-51,0.638325259965917,0.31,0.01,4.15894698759077e-47,"11","Prkca"
"Dennd4a",1.13495490803287e-50,0.902388984000095,0.414,0.019,1.88243621046332e-46,"11","Dennd4a"
"Fam189b1",1.96154521410239e-48,0.52507325574615,0.345,0.014,3.25341889211022e-44,"11","Fam189b"
"Stk4",5.95286332360076e-48,0.948628934208197,0.621,0.045,9.87341910852423e-44,"11","Stk4"
"Slfn8",9.0259992624841e-45,0.476552378115759,0.276,0.009,1.49705223767561e-40,"11","Slfn8"
"Ptpn18",1.41085225644534e-43,1.61629550516097,0.897,0.116,2.34003955254024e-39,"11","Ptpn18"
"Atp1b11",3.4005137309647e-43,0.597898042179113,0.276,0.01,5.64009207417805e-39,"11","Atp1b1"
"Metrnl",8.82436634443424e-43,0.680215078644434,0.345,0.016,1.46360940188786e-38,"11","Metrnl"
"Tgif12",4.96118523089537e-42,0.705721974191763,0.414,0.023,8.22862182396306e-38,"11","Tgif1"
"Traf1",1.96833511936042e-40,0.878968156372676,0.517,0.037,3.26468062897119e-36,"11","Traf1"
"Il17ra",5.81491689320755e-40,0.656841861608893,0.31,0.014,9.64462115907403e-36,"11","Il17ra"
"Gem2",1.04147599145098e-39,1.40244986071647,0.379,0.021,1.72739207942059e-35,"11","Gem"
"Akna",3.1102207313813e-38,0.570671334494317,0.414,0.025,5.15861210506902e-34,"11","Akna"
"Rel1",5.29870646368681e-38,1.07983613465265,0.483,0.034,8.78843454067095e-34,"11","Rel"
"Sept1",7.30959010925811e-38,1.19144938443233,0.621,0.06,1.21236861552155e-33,"11","Sept1"
"Arl4c",7.55812352603734e-36,0.498917994448844,0.345,0.019,1.25359036802855e-31,"11","Arl4c"
"Bcl2",2.05454871575517e-34,1.49733723463933,0.69,0.081,3.40767449995153e-30,"11","Bcl2"
"Pim11",4.88231001726757e-34,1.89553429089977,0.759,0.099,8.09779939463998e-30,"11","Pim1"
"Rbm38",5.74512968512858e-34,0.395293846596935,0.31,0.016,9.52887209575427e-30,"11","Rbm38"
"Prex1",8.21812041688886e-34,0.890064369300952,0.552,0.051,1.36305745234519e-29,"11","Prex1"
"Ezr",1.28181117085256e-33,0.794010403200536,0.655,0.069,2.12601200797606e-29,"11","Ezr"
"Gata3",2.33823818922963e-32,0.878924634281847,0.31,0.017,3.87820186065627e-28,"11","Gata3"
"Stk17b1",5.33915572566245e-31,1.65250517785836,0.828,0.137,8.85552368658373e-27,"11","Stk17b"
"Chsy1",9.70772128423816e-31,0.759668429685931,0.414,0.032,1.61012265220374e-26,"11","Chsy1"
"Frat2",1.08301008670664e-30,0.606498241051422,0.345,0.022,1.79628052981164e-26,"11","Frat2"
"Nr4a12",1.38243528308225e-30,1.42297344785195,0.862,0.131,2.29290716052022e-26,"11","Nr4a1"
"Siah2",2.61657624845029e-30,0.406088163543195,0.379,0.026,4.33985336567966e-26,"11","Siah2"
"Tuba1c",8.44576710391355e-30,0.418697348949476,0.31,0.018,1.4008149318551e-25,"11","Tuba1c"
"Nr4a31",3.11268329934393e-29,0.751366241122308,0.345,0.023,5.16269652029185e-25,"11","Nr4a3"
"Odc1",1.1474072251184e-28,0.850220568929575,0.414,0.034,1.90308962358137e-24,"11","Odc1"
"Nfil3",1.20589981967446e-28,0.554144580762569,0.414,0.033,2.00010544091206e-24,"11","Nfil3"
"Fam134b",4.47313418639249e-27,0.595242878320715,0.345,0.025,7.41914036155059e-23,"11","Fam134b"
"Trim59",2.80181246852796e-26,0.397150372044074,0.276,0.016,4.64708616030047e-22,"11","Trim59"
"Cebpb2",4.18628459290288e-26,1.79021699304092,0.69,0.103,6.94337162578871e-22,"11","Cebpb"
"Mta3",7.1110283199394e-26,0.660146570858586,0.414,0.037,1.17943515714515e-21,"11","Mta3"
"Cdk2ap22",1.30522713606642e-25,1.05438916150231,0.724,0.115,2.16484972787976e-21,"11","Cdk2ap2"
"Ssbp22",3.09056448367159e-25,0.250153422006143,0.276,0.017,5.1260102526177e-21,"11","Ssbp2"
"Polg2",4.93577665798642e-25,0.371164491452987,0.31,0.021,8.18647916493627e-21,"11","Polg2"
"Il2rg",5.99978230571459e-25,0.972962723063963,0.759,0.131,9.95123893225821e-21,"11","Il2rg"
"Lbh1",1.38574603905277e-23,0.430771090932227,0.483,0.052,2.29839838037293e-19,"11","Lbh"
"Csk1",2.48383986884062e-23,0.739512429110827,0.586,0.08,4.11969680645906e-19,"11","Csk"
"Npm3",2.79895116731419e-22,0.636039278953639,0.414,0.042,4.64234040610732e-18,"11","Npm3"
"Btg12",1.25528364454863e-21,1.93571800895517,1,0.449,2.08201345284835e-17,"11","Btg1"
"Pde7a",1.86810971343739e-21,0.309444324911712,0.31,0.025,3.09844677070726e-17,"11","Pde7a"
"Arrdc32",2.30528870880862e-21,0.537502545835825,0.31,0.026,3.82355185242998e-17,"11","Arrdc3"
"Fnbp12",3.91964710938488e-21,0.395682394040016,0.379,0.037,6.50112669562577e-17,"11","Fnbp1"
"Zfp36l2",5.51667638063307e-21,1.64733680720276,0.897,0.223,9.14995944491801e-17,"11","Zfp36l2"
"Crlf3",6.78146660007207e-21,0.746055351029623,0.517,0.069,1.12477405028795e-16,"11","Crlf3"
"Arap21",1.03785972967277e-20,0.654051450083522,0.448,0.051,1.72139414763525e-16,"11","Arap2"
"Ankrd44",3.41005856330409e-20,0.952923071266059,0.552,0.079,5.65592313309616e-16,"11","Ankrd44"
"Prdx6",8.1163780188176e-19,1.01317331043263,0.69,0.134,1.34618245820109e-14,"11","Prdx6"
"Cmtm71",1.02951382092283e-18,0.649589977108189,0.448,0.057,1.7075516233826e-14,"11","Cmtm7"
"Gm20186",1.78178259432824e-18,0.451176100547693,0.276,0.023,2.95526461095282e-14,"11","Gm20186"
"Lpin1",1.88089936654509e-18,0.467989570696008,0.276,0.023,3.11965968935169e-14,"11","Lpin1"
"Serp1",3.05577021321404e-18,0.771620991234531,0.655,0.119,5.0683004756368e-14,"11","Serp1"
"Hn1",3.19414105619996e-18,0.767883261239747,0.69,0.137,5.29780235581326e-14,"11","Hn1"
"Slfn21",5.12678376374096e-18,0.898859909606377,0.552,0.087,8.50328355054075e-14,"11","Slfn2"
"Emp34",7.155465746345e-18,0.789050845617001,0.759,0.158,1.18680554868878e-13,"11","Emp3"
"Fosl2",1.4030497824119e-17,0.845319931448826,0.586,0.103,2.32709836910838e-13,"11","Fosl2"
"Tra2b2",2.21569911730998e-17,0.851762308006883,0.862,0.247,3.67495855597033e-13,"11","Tra2b"
"Bcl2l11",2.23264192345676e-17,0.587426402082122,0.483,0.07,3.70305989424538e-13,"11","Bcl2l11"
"Tmem641",2.37770875363788e-17,0.607382519862955,0.483,0.071,3.9436677387838e-13,"11","Tmem64"
"Lgals14",2.49771226538173e-17,0.574698394273362,0.621,0.105,4.14270556336214e-13,"11","Lgals1"
"Zc3h12a",3.34459898489913e-17,0.591857808915201,0.31,0.031,5.54735187635369e-13,"11","Zc3h12a"
"Pnrc12",3.97484849348649e-17,1.08382719759115,0.966,0.344,6.5926837112967e-13,"11","Pnrc1"
"Tmsb101",1.07932762369648e-16,2.17582457988254,0.931,0.451,1.79017279666298e-12,"11","Tmsb10"
