"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Epb41l1",1.5989442366987e-82,0.269556251341958,0.413,0.166,2.87634078739729e-78,"2","Epb41l1"
"Arhgef17",2.07163794028127e-82,0.292110009000787,0.567,0.294,3.72666949077197e-78,"2","Arhgef17"
"Igf1r",2.13082675773297e-82,0.368001755159566,0.803,0.58,3.83314425448583e-78,"2","Igf1r"
"Mprip",2.81766545313546e-82,0.340481222286701,0.918,0.714,5.06869838364537e-78,"2","Mprip"
"Foxs1",6.88957855658293e-82,0.338710318292419,0.46,0.2,1.2393662865437e-77,"2","Foxs1"
"Fbxo32",8.531712213065e-82,0.419409110057745,0.501,0.255,1.53476971000826e-77,"2","Fbxo32"
"Hes1",9.92842338067368e-82,0.494358377722328,0.932,0.697,1.78602408194939e-77,"2","Hes1"
"Josd2",1.49461395647877e-81,0.340250470702928,0.639,0.409,2.68866104630967e-77,"2","Josd2"
"Ndufv3",2.75631999989125e-81,0.286693553136527,0.921,0.76,4.95834404780437e-77,"2","Ndufv3"
"Sod3",5.87002719408349e-81,0.266837641268611,0.409,0.167,1.05595919194368e-76,"2","Sod3"
"Spats2l",9.06061316818096e-81,0.318499039960717,0.62,0.356,1.62991370282407e-76,"2","Spats2l"
"Pacsin2",1.05653597040446e-80,0.340540652286255,0.687,0.463,1.90060255716059e-76,"2","Pacsin2"
"Dcun1d1",1.1740129689082e-80,0.362502703338325,0.723,0.504,2.11193192976896e-76,"2","Dcun1d1"
"Cisd1",2.10988534273562e-80,0.279523690151921,0.721,0.492,3.79547274304711e-76,"2","Cisd1"
"Mical2",6.2039267442696e-80,0.306897415692296,0.699,0.442,1.11602438202666e-75,"2","Mical2"
"Spry2",1.89057453797208e-79,0.412849297863125,0.608,0.36,3.40095453635797e-75,"2","Spry2"
"Svil",3.08212755659183e-79,0.302199075935249,0.624,0.371,5.54443926155304e-75,"2","Svil"
"Fbl",3.9177481337133e-79,0.388554839370588,0.706,0.493,7.04763711773685e-75,"2","Fbl"
"Rrm1",4.6384175122648e-79,0.369302346857765,0.512,0.269,8.34404926281316e-75,"2","Rrm1"
"Dock7",5.67216091957174e-79,0.252543300397041,0.404,0.167,1.02036502782176e-74,"2","Dock7"
"Mcur1",6.00410802893925e-78,0.354852066273259,0.651,0.44,1.08007899332588e-73,"2","Mcur1"
"Cog7",2.23160989674068e-77,0.360386452450671,0.447,0.217,4.0144430432468e-73,"2","Cog7"
"Bri3",2.76203129325117e-77,0.296512024204697,0.973,0.852,4.96861809342953e-73,"2","Bri3"
"Nrgn",6.02580384640071e-77,0.304853087852641,0.343,0.127,1.08398185392902e-72,"2","Nrgn"
"Nr4a3",9.98031861490747e-77,0.457954298310054,0.578,0.328,1.79535951563571e-72,"2","Nr4a3"
"Rsu1",1.3543609494032e-76,0.293865439561163,0.926,0.76,2.43635991188141e-72,"2","Rsu1"
"Hadh",2.04877924661608e-76,0.312950265541397,0.808,0.609,3.68554898673766e-72,"2","Hadh"
"Ngf",1.52270480829732e-75,0.275265503723628,0.425,0.179,2.73919367964605e-71,"2","Ngf"
"Kpna1",1.6088387022228e-75,0.421852500089898,0.594,0.373,2.8941399414286e-71,"2","Kpna1"
"Nab1",2.71018350922356e-74,0.306463493082797,0.746,0.513,4.87534911474226e-70,"2","Nab1"
"Arih2",6.43220523603155e-74,0.332335321813464,0.545,0.319,1.15708939990972e-69,"2","Arih2"
"Atp5g2",3.14862564759055e-73,0.262951022886658,0.998,0.903,5.66406267745064e-69,"2","Atp5g2"
"Spon11",3.70686392389494e-73,0.264261589182346,0.46,0.2,6.66827751269462e-69,"2","Spon1"
"Ndufa7",4.01975737649301e-73,0.256681203341966,0.985,0.867,7.23114154457328e-69,"2","Ndufa7"
"Socs3",4.57351301585272e-73,0.321906008930558,0.982,0.664,8.22729256421745e-69,"2","Socs3"
"Prkar2a",7.00812821344988e-73,0.340118451204621,0.629,0.41,1.2606921843175e-68,"2","Prkar2a"
"Phyh",6.41321341773221e-72,0.255003791011562,0.495,0.257,1.15367296171585e-67,"2","Phyh"
"Eif4ebp1",8.31222710519858e-72,0.328857902275016,0.656,0.43,1.49528653395417e-67,"2","Eif4ebp1"
"Podxl2",1.02670900105006e-71,0.27178146786378,0.474,0.237,1.84694682198896e-67,"2","Podxl2"
"Prkag2",1.27446750974534e-71,0.272980216141207,0.455,0.228,2.29263960328089e-67,"2","Prkag2"
"Idh3a",1.34798283626152e-71,0.269195978117229,0.625,0.4,2.42488632415085e-67,"2","Idh3a"
"Ttll7",3.69626412081195e-71,0.327310403626616,0.547,0.323,6.64920952692862e-67,"2","Ttll7"
"Ndufs2",4.40622333465838e-71,0.295083455045482,0.918,0.748,7.92635515671697e-67,"2","Ndufs2"
"Fbxl17",4.40955519736326e-71,0.315948403582099,0.581,0.361,7.93234884453677e-67,"2","Fbxl17"
"Lmna",1.66564184640385e-70,0.258041889499295,0.983,0.789,2.99632311749589e-66,"2","Lmna"
"Dynlrb1",3.1225028661593e-70,0.277378798179117,0.935,0.79,5.61707040593396e-66,"2","Dynlrb1"
