"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Itgb8",1.38173873519497e-11,0.917712469862366,0.5,0.029,2.54834074932009e-07,"16","Itgb8"
"Kif21a",1.51226872241671e-11,0.631625056907174,0.333,0.013,2.78907720475313e-07,"16","Kif21a"
"Slc16a11",6.77425470628445e-11,0.559822069863566,0.5,0.03,1.24937579548004e-06,"16","Slc16a1"
"Zfp60",7.7170637585635e-11,0.596807965982506,0.5,0.031,1.42325806899187e-06,"16","Zfp60"
"Pus7l",8.90411263558115e-11,0.472805963172424,0.333,0.014,1.64218549338023e-06,"16","Pus7l"
"Mycn",8.90411263558115e-11,0.468729768415378,0.333,0.014,1.64218549338023e-06,"16","Mycn"
"Slc9a3r12",1.7406670186918e-10,0.635351328045499,0.667,0.055,3.21031218257329e-06,"16","Slc9a3r1"
"Daam21",1.77381257175042e-10,0.78199948905315,0.667,0.057,3.2714425260793e-06,"16","Daam2"
"Fam102a",1.85423469386617e-10,0.611065867291643,0.5,0.032,3.41976504589738e-06,"16","Fam102a"
"Matn41",2.32489467150598e-10,1.44794035107015,0.667,0.059,4.28780324265849e-06,"16","Matn4"
"Nr2f12",2.90630001336386e-10,0.816212009549933,0.667,0.058,5.36008911464696e-06,"16","Nr2f1"
"Ntm1",3.99692588790501e-10,0.86068525587364,0.5,0.034,7.37153041506322e-06,"16","Ntm"
"Sgsh",4.72175750393763e-10,0.417302881204893,0.333,0.015,8.70833736451217e-06,"16","Sgsh"
"Brdt",6.79063021421732e-10,0.479240999697239,0.333,0.015,1.2523959304081e-05,"16","Brdt"
"Cyp2j6",7.91527981371264e-10,0.936712158612945,0.667,0.063,1.45981505604302e-05,"16","Cyp2j6"
"Aldh1a3",1.08142722805709e-09,0.41258905222766,0.333,0.015,1.99447623670569e-05,"16","Aldh1a3"
"Vgll3",1.10209971251845e-09,1.04369891450829,0.5,0.036,2.03260249979778e-05,"16","Vgll3"
"Moxd1",1.13227482380809e-09,1.08481495154566,0.333,0.016,2.08825445754926e-05,"16","Moxd1"
"Tmod2",1.47248047036123e-09,0.59384016897631,0.5,0.035,2.71569573148722e-05,"16","Tmod2"
"Spata2",1.67185687388624e-09,0.732524633597974,0.5,0.036,3.0834056325084e-05,"16","Spata2"
"Pitrm1",2.66501786684349e-09,0.824472508469562,0.667,0.066,4.91509245181945e-05,"16","Pitrm1"
"Matn24",2.82801101021085e-09,2.01108514333066,1,0.178,5.21570070613187e-05,"16","Matn2"
"Art32",3.08426428408188e-09,0.9188884908335,0.667,0.065,5.68830861913222e-05,"16","Art3"
"Ptrh1",3.42172989127978e-09,0.457924493687136,0.333,0.016,6.3106964384873e-05,"16","Ptrh1"
"Prss232",3.43212581446078e-09,1.05728569210326,0.833,0.101,6.32986963961002e-05,"16","Prss23"
"Nepro",3.49334911876705e-09,0.463849707112117,0.333,0.016,6.44278377974206e-05,"16","Nepro"
"S100a41",3.68722295904206e-09,1.44887318363975,0.667,0.065,6.80034530336127e-05,"16","S100a4"
"Cpox",4.85561934009904e-09,0.721727771652533,0.5,0.038,8.95521874894465e-05,"16","Cpox"
"Fam19a5",5.72149719830291e-09,0.797741194402029,0.333,0.017,0.000105521572828301,"16","Fam19a5"
"Tm9sf1",5.81002599441359e-09,0.59330752102842,0.5,0.038,0.00010715430941497,"16","Tm9sf1"
"Ispd",9.46842250836436e-09,0.460206953200301,0.333,0.018,0.000174626116321764,"16","Ispd"
"Galnt10",1.18931139202628e-08,0.784541423356745,0.5,0.041,0.000219344700031408,"16","Galnt10"
"Vwa12",1.25847326120233e-08,1.36039329554661,0.833,0.124,0.000232100223563545,"16","Vwa1"
"Pdgfa2",1.26841375606759e-08,1.54041050456895,0.833,0.124,0.000233933549031545,"16","Pdgfa"
"Zfp637",1.30661377831317e-08,0.884063442485132,1,0.17,0.000240978779134299,"16","Zfp637"
"Mrgprf",1.34419350274663e-08,0.431103745630567,0.333,0.018,0.00024790960771156,"16","Mrgprf"
"Maf1",1.41821704273051e-08,0.596617424053285,0.5,0.039,0.000261561769190788,"16","Maf"
"Zfp608",1.70206904204328e-08,0.905239618790958,0.667,0.073,0.000313912593424043,"16","Zfp608"
"Ctnnal1",2.60239887610955e-08,0.89622985601115,0.5,0.042,0.000479960424720884,"16","Ctnnal1"
"Fpgt",2.66682525653023e-08,0.49796041186879,0.333,0.019,0.000491842582061871,"16","Fpgt"
"Ythdf3",3.51985213963848e-08,0.835142082849176,0.833,0.118,0.000649166330113524,"16","Ythdf3"
"Thtpa",3.78582187096448e-08,0.677581382243786,0.333,0.019,0.000698219127661979,"16","Thtpa"
"Arhgap39",3.92474385464745e-08,0.458914210510674,0.333,0.019,0.000723840509112628,"16","Arhgap39"
"Epb41l3",4.38279406561424e-08,0.965784805589989,0.5,0.044,0.000808318709521235,"16","Epb41l3"
"Prnp2",4.59584146191716e-08,2.13666563557751,1,0.243,0.000847611040821382,"16","Prnp"
"Syngr11",5.68424783822924e-08,0.565865143456749,0.5,0.042,0.00104834582880462,"16","Syngr1"
"Mmp152",5.90731891316875e-08,0.730577597669091,0.667,0.078,0.00108948682715571,"16","Mmp15"
"Cadm1",7.1047176695978e-08,1.15740580707302,0.333,0.02,0.00131032307980392,"16","Cadm1"
"Pappa",8.45954607232446e-08,0.594469421845732,0.333,0.02,0.0015601940821188,"16","Pappa"
"C4b1",1.00096902332694e-07,1.05699568620375,0.333,0.02,0.00184608716972188,"16","C4b"
"Kirrel",1.02201720352796e-07,0.5677301130351,0.5,0.045,0.00188490632846662,"16","Kirrel"
"Ndrg12",1.50856714217728e-07,1.23196950001822,0.833,0.134,0.00278225038031756,"16","Ndrg1"
"Trak2",1.54561481231608e-07,0.748496952205573,0.667,0.081,0.00285057739835454,"16","Trak2"
"Tln2",1.6070023669993e-07,0.998243596478233,0.667,0.087,0.00296379446545682,"16","Tln2"
"Sema3c2",1.75437433160223e-07,1.12876590861307,0.667,0.082,0.003235592579774,"16","Sema3c"
"Gpd2",1.82148257137388e-07,0.564241903345365,0.5,0.046,0.00335936030638484,"16","Gpd2"
"Dag14",2.33009494552416e-07,1.4894495322803,1,0.27,0.00429739410803021,"16","Dag1"
"Hspa12a1",2.44846404474066e-07,0.468592067335769,0.333,0.021,0.00451570223771521,"16","Hspa12a"
"Rnf157",2.65410203733561e-07,0.468533557091407,0.333,0.021,0.00489496038745807,"16","Rnf157"
"Oraov1",2.74997253351495e-07,0.534203321431032,0.5,0.047,0.00507177434356163,"16","Oraov1"
"Usp6nl",3.03534223748355e-07,0.738001871412538,0.5,0.049,0.0055980816885909,"16","Usp6nl"
"Cep164",3.28690747587755e-07,0.657571693581263,0.667,0.085,0.00606204345776096,"16","Cep164"
"Hbegf2",3.30865106382197e-07,1.2640600504933,0.667,0.087,0.00610214515700686,"16","Hbegf"
"Cdh22",3.59494162642195e-07,0.874711666039042,0.667,0.088,0.00663015084161,"16","Cdh2"
"Lipa2",3.7340017433829e-07,0.671161477893719,1,0.179,0.00688661941532109,"16","Lipa"
"Thap1",3.74835749504128e-07,0.49839447761187,0.333,0.023,0.00691309572810463,"16","Thap1"
"Cyp51",3.82172144344384e-07,0.541048318521061,0.5,0.048,0.00704840085814348,"16","Cyp51"
"Itih54",3.96161374654444e-07,2.14475861255538,1,0.226,0.00730640423275191,"16","Itih5"
"Rap2b1",3.99178356890184e-07,0.631433393831736,0.667,0.085,0.00736204643612567,"16","Rap2b"
"1810043G02Rik",4.80930245234918e-07,0.572271134799621,0.5,0.051,0.00886979651286759,"16","1810043G02Rik"
"Ezr3",4.9974918834489e-07,0.785367547624395,0.667,0.086,0.0092168742806448,"16","Ezr"
"Gstk1",5.34808669344134e-07,0.39742276793043,0.333,0.023,0.00986347628871387,"16","Gstk1"
"Casp122",6.35728043846816e-07,1.04754703148018,0.667,0.092,0.0117247323126668,"16","Casp12"
"Ppip5k1",7.69873595195738e-07,0.43957465605876,0.333,0.023,0.014198778716195,"16","Ppip5k1"
"Serinc5",1.02422139252478e-06,0.806502269027728,0.5,0.053,0.0188897151423346,"16","Serinc5"
"Prex1",1.07942884673867e-06,0.73155830051329,0.5,0.053,0.0199079062204014,"16","Prex1"
"Tbcc",1.30642181564443e-06,0.775966828942948,0.833,0.148,0.0240943375459303,"16","Tbcc"
"Gng21",1.3387538550333e-06,0.639938358683167,0.667,0.095,0.0246906373483792,"16","Gng2"
"Capg",1.36273556849362e-06,0.853664439120974,0.833,0.154,0.0251329320897279,"16","Capg"
"Il1rap",1.49487710681719e-06,0.535424706476253,0.333,0.025,0.0275700184810294,"16","Il1rap"
"Gtf2e1",1.5441057402968e-06,0.435001306184369,0.333,0.024,0.0284779421682939,"16","Gtf2e1"
