"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pnrc1",1.87389550638e-36,0.269921880320581,0.94,0.739,3.45602548241664e-32,"5","Pnrc1"
"Sparc2",2.07248556294435e-36,0.275807537749444,1,0.964,3.82228512373827e-32,"5","Sparc"
"Rbms1",4.26788999346996e-36,0.26868017211705,0.961,0.758,7.87126951495666e-32,"5","Rbms1"
"Wwc2",1.22307677951544e-34,0.278031843177297,0.74,0.453,2.25572050446033e-30,"5","Wwc2"
"P4hb",2.71450482649489e-34,0.271057901953299,0.977,0.828,5.00636125150453e-30,"5","P4hb"
"Arf21",1.71308722133214e-31,0.259309984802351,0.596,0.332,3.15944676230287e-27,"5","Arf2"
"Ucp22",2.6102925552759e-31,0.259885683996951,0.847,0.575,4.81416255969535e-27,"5","Ucp2"
"Emp32",1.57763880288458e-30,0.26035456834651,0.988,0.812,2.90963924416003e-26,"5","Emp3"
"Eno1",7.52150064968992e-30,0.25139555531139,0.839,0.616,1.38719036482231e-25,"5","Eno1"
"Ptrf1",1.94161749993444e-29,0.277312806827153,0.957,0.801,3.58092515512909e-25,"5","Ptrf"
"Bambi",1.53397091715714e-28,0.260780678900816,0.52,0.289,2.82910256251292e-24,"5","Bambi"
"Prdx51",5.47470936596506e-28,0.27818918339508,0.953,0.828,1.00970064836494e-23,"5","Prdx5"
"Rbm28",1.69595009417489e-25,0.321842438103637,0.724,0.497,3.12784075868675e-21,"5","Rbm28"
"Igf1",1.35389962409251e-24,0.31909239880693,0.742,0.506,2.49699707671381e-20,"5","Igf1"
"Prnp1",8.40312195079832e-24,0.271166041275822,0.75,0.548,1.54978778138573e-19,"5","Prnp"
"Btg2",3.58079943174559e-22,0.259246870837952,0.876,0.661,6.60406839196839e-18,"5","Btg2"
"Itm2a2",4.52575268561537e-22,0.28487054554123,0.897,0.659,8.34684567808042e-18,"5","Itm2a"
"Gpx32",3.7001670285195e-17,0.715478492714929,0.73,0.528,6.82421805069852e-13,"5","Gpx3"
"Lgals13",5.71541594429419e-05,0.339764913499768,0.986,0.886,1,"5","Lgals1"
"Gm42418",1.2481437583055e-133,1.57023000629974,0.968,0.999,2.30195153344284e-129,"6","Gm42418"
"mt-Nd4",7.05513397343757e-62,1.65893534908495,0.827,0.985,1.30117835872109e-57,"6","mt-Nd4"
"mt-Atp6",2.84877607647479e-60,1.90194874019893,0.911,0.993,5.25399771784246e-56,"6","mt-Atp6"
"mt-Co2",2.93798563480157e-60,1.86934134045201,0.907,0.993,5.41852690626454e-56,"6","mt-Co2"
"mt-Nd2",6.28024709412139e-56,1.89266058610434,0.802,0.983,1.15826597156881e-51,"6","mt-Nd2"
