"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rpl27a",6.88764230691143e-08,0.458783914032626,1,0.888,0.0012390179745903,"3","Rpl27a"
"Acvr1",7.17396893455455e-08,0.321616292071877,0.362,0.118,0.00129052527163702,"3","Acvr1"
"Rnf149",7.18598345961417e-08,0.273194071696311,0.276,0.075,0.00129268656454999,"3","Rnf149"
"Trappc6a1",7.33839791888924e-08,0.313543613728615,0.448,0.162,0.00132010440162898,"3","Trappc6a"
"Rps191",7.34044022252461e-08,0.394573263833027,1,0.867,0.00132047179162995,"3","Rps19"
"Ehd22",7.36691545025998e-08,0.431266648711303,0.948,0.56,0.00132523442034727,"3","Ehd2"
"S1pr12",7.45638434535846e-08,0.358376917790526,0.828,0.404,0.00134132897988653,"3","S1pr1"
"Foxn3",7.75286609963625e-08,0.269294963020073,0.5,0.193,0.00139466308266356,"3","Foxn3"
"Ltbp42",7.80643202136773e-08,0.414726751028818,1,0.623,0.00140429905632384,"3","Ltbp4"
"Mgp1",9.04992811487246e-08,0.418331834470266,0.931,0.65,0.00162799156858441,"3","Mgp"
"Dkk21",9.40146492493805e-08,0.250178837899297,0.397,0.129,0.00169122952534711,"3","Dkk2"
"Ctdnep1",9.51545820540952e-08,0.311918130006472,0.483,0.189,0.00171173577657112,"3","Ctdnep1"
"Dap1",9.57469077280924e-08,0.266084321922858,0.552,0.228,0.00172239112312065,"3","Dap"
"Foxo11",1.03108402857173e-07,0.296875962785343,0.466,0.17,0.00185481705899768,"3","Foxo1"
"Eif4a11",1.03491146601009e-07,0.416545169370078,0.948,0.655,0.00186170223620555,"3","Eif4a1"
"Glod4",1.03918916634478e-07,0.294998275830545,0.466,0.17,0.00186939739133763,"3","Glod4"
"Gcnt2",1.09198092356718e-07,0.299176122716439,0.448,0.165,0.001964364483405,"3","Gcnt2"
"Tsc22d3",1.09628108506858e-07,0.40059405600035,0.586,0.27,0.00197210004392987,"3","Tsc22d3"
"Rac11",1.10938642653322e-07,0.347099449281833,0.879,0.521,0.00199567524269062,"3","Rac1"
"Aph1a",1.11342222041794e-07,0.323377186128254,0.483,0.19,0.00200293523230984,"3","Aph1a"
"Cnn31",1.14954168654143e-07,0.314804806771508,0.759,0.371,0.00206791053991937,"3","Cnn3"
"Sept111",1.15325676146264e-07,0.372405825817868,0.793,0.382,0.00207459358819515,"3","Sept11"
"Rps71",1.16905643548638e-07,0.369294763321331,0.983,0.834,0.00210301562179645,"3","Rps7"
"Leprot1",1.21660273648158e-07,0.257424124667533,0.638,0.272,0.00218854666265671,"3","Leprot"
"Dusp81",1.21667933217867e-07,0.347273845667721,0.534,0.222,0.00218868445065621,"3","Dusp8"
"Ccdc85b1",1.23044984760875e-07,0.286771874891379,0.603,0.253,0.00221345623086338,"3","Ccdc85b"
"Tspan131",1.26021378832565e-07,0.29053117864951,0.741,0.328,0.00226699858381901,"3","Tspan13"
"Sepw12",1.33604125338411e-07,0.371950800104414,0.966,0.722,0.00240340461071268,"3","Sepw1"
"Pttg1ip",1.36948295805146e-07,0.310129465638012,0.655,0.311,0.00246356289323877,"3","Pttg1ip"
"Rpl18a",1.386003023155e-07,0.352162455723047,0.983,0.869,0.00249328083835352,"3","Rpl18a"
"Ctnnbl1",1.49299544744503e-07,0.255532290394293,0.379,0.127,0.00268574951040887,"3","Ctnnbl1"
"Msn1",1.49742887823888e-07,0.43383059656932,0.914,0.579,0.00269372480906392,"3","Msn"
"Ptprb2",1.49818784239995e-07,0.34493582422882,0.983,0.514,0.00269509010969326,"3","Ptprb"
"Mgat2",1.51121714782847e-07,0.317218424663342,0.5,0.206,0.00271852852722863,"3","Mgat2"
"Anp32a1",1.56167494425884e-07,0.355830033584345,0.897,0.471,0.00280929705722723,"3","Anp32a"
"Ubc",1.73805009968805e-07,0.561398357341373,0.948,0.717,0.00312657832432884,"3","Ubc"
"Gnb2l1",1.84194753379085e-07,0.471351682635873,0.966,0.754,0.00331347941853635,"3","Gnb2l1"
"Gnaq1",1.84232293585406e-07,0.324511553658233,0.552,0.237,0.00331415472930787,"3","Gnaq"
"Slc9a3r21",1.88535430127163e-07,0.295522924946058,0.948,0.488,0.00339156385255754,"3","Slc9a3r2"
"Ldha1",1.89273612910442e-07,0.357539088647983,0.897,0.557,0.00340484302264593,"3","Ldha"
"Arhgap311",1.90713864600827e-07,0.355408450135071,0.776,0.39,0.00343075171030427,"3","Arhgap31"
"Eva1c1",1.91959327959413e-07,0.27349802524626,0.293,0.086,0.00345315635066188,"3","Eva1c"
