"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cenpa",3.1605069739402e-13,0.368053191204222,0.289,0.044,5.24201686697722e-09,"11","Cenpa"
"Rps92",3.30566383791688e-13,0.704534583224329,0.974,0.859,5.48277404156894e-09,"11","Rps9"
"Pik3r11",4.84552848309853e-13,0.877169728402839,0.605,0.177,8.03679354206722e-09,"11","Pik3r1"
"Tuba1c1",5.32205204787182e-13,0.33791858174707,0.289,0.045,8.82715552660019e-09,"11","Tuba1c"
"Peli1",6.86122633489161e-13,0.527672832844145,0.605,0.174,1.13800299990512e-08,"11","Peli1"
"Il16",6.96839066909244e-13,0.296825763277487,0.289,0.045,1.15577727637567e-08,"11","Il16"
"Srgn2",7.61267631632783e-13,1.12266246303053,1,0.635,1.26263849382613e-08,"11","Srgn"
"Rab8b",7.69179243235933e-13,0.674259167141233,0.579,0.162,1.27576069283112e-08,"11","Rab8b"
"H2afj1",8.80745624872732e-13,0.620414266882846,0.789,0.33,1.46080469341391e-08,"11","H2afj"
"Tuba4a",1.1227347463421e-12,0.642311848718724,0.395,0.082,1.86216785028301e-08,"11","Tuba4a"
"Zc3h12a",1.17104518205956e-12,0.583177664467767,0.342,0.064,1.94229553896399e-08,"11","Zc3h12a"
"Rpl393",1.19328423169412e-12,1.11475025675911,0.974,0.809,1.97918122668787e-08,"11","Rpl39"
"Cirbp",1.42470640009571e-12,0.667309219755008,0.658,0.219,2.36301803519874e-08,"11","Cirbp"
"Rps131",1.73135064148747e-12,0.908087245053925,1,0.823,2.87161817397113e-08,"11","Rps13"
"Arrdc32",1.93810205110002e-12,0.596506623973716,0.342,0.065,3.2145360619545e-08,"11","Arrdc3"
"Snhg9",2.02298759369748e-12,0.297392578297173,0.342,0.062,3.35532722290664e-08,"11","Snhg9"
"Cmtm71",2.50363963631434e-12,0.607596570116303,0.447,0.109,4.15253670079096e-08,"11","Cmtm7"
"S1pr4",2.65058531896483e-12,0.323314732004357,0.289,0.046,4.39626081003506e-08,"11","S1pr4"
"Gpcpd11",2.77536191694372e-12,0.885643566800953,0.421,0.097,4.60321527544286e-08,"11","Gpcpd1"
"H2-K12",3.65478784622402e-12,0.795480423691267,1,0.735,6.06183112174716e-08,"11","H2-K1"
"Gm2000",4.25689958069966e-12,0.344363202344364,0.395,0.084,7.06049364454846e-08,"11","Gm2000"
"Ubald21",4.48557068394937e-12,0.568608735623002,0.789,0.303,7.43976753639843e-08,"11","Ubald2"
"Rps161",4.60090385253652e-12,0.819188204152367,0.974,0.873,7.63105912981707e-08,"11","Rps16"
"Gimap9",5.42064193583591e-12,0.545267130552221,0.474,0.115,8.99067671477743e-08,"11","Gimap9"
"Lgals14",5.67742028175552e-12,0.481279933290203,0.632,0.175,9.4165692793197e-08,"11","Lgals1"
"Rplp21",7.66964512176299e-12,0.806699339005631,0.974,0.811,1.27208733989561e-07,"11","Rplp2"
"Ppp1r18",7.93999995497689e-12,0.517849849312856,0.579,0.173,1.31692839253247e-07,"11","Ppp1r18"
"Jarid2",8.13414843697728e-12,0.367322824560194,0.526,0.136,1.34912985975705e-07,"11","Jarid2"
"Rps27a1",8.19866854422229e-12,0.680679811844179,1,0.862,1.35983116474471e-07,"11","Rps27a"
"Tnfrsf1b",8.46468470520175e-12,0.532502846393657,0.474,0.117,1.40395260520476e-07,"11","Tnfrsf1b"
"Ahcyl2",8.64412671973984e-12,0.391538743333914,0.395,0.086,1.43371485773605e-07,"11","Ahcyl2"
"Rpl381",1.05143231287289e-11,0.850633824436352,0.974,0.818,1.74390563413098e-07,"11","Rpl38"
"Jak11",1.07787987392097e-11,0.656816428408649,0.842,0.363,1.78777155888532e-07,"11","Jak1"
"Dennd1b",1.15461517890178e-11,0.390969521671549,0.447,0.103,1.91504473572649e-07,"11","Dennd1b"
"Rpl13a",1.25584255315961e-11,0.774218064044875,0.974,0.832,2.08294045867053e-07,"11","Rpl13a"
"Rps101",1.26508915587116e-11,0.829799586855734,0.974,0.859,2.0982768739279e-07,"11","Rps10"
"Rps15a3",1.46884284798243e-11,1.16000553545571,0.895,0.837,2.43622274766366e-07,"11","Rps15a"
"Tes",1.64084210523493e-11,0.340377668695312,0.5,0.125,2.72150071574265e-07,"11","Tes"
"Rpl37a1",1.8651629498277e-11,0.77885600588755,0.974,0.861,3.09355926858422e-07,"11","Rpl37a"
"Fam46a1",2.14467198648177e-11,0.684720245848912,0.263,0.044,3.55715295677866e-07,"11","Fam46a"
"Mkrn1",2.19108649787886e-11,0.493002120170147,0.579,0.171,3.63413606538187e-07,"11","Mkrn1"
"Rpl372",2.60662077903036e-11,0.689721999529024,0.974,0.847,4.32334122409976e-07,"11","Rpl37"
"Rpl17",2.8606236096365e-11,0.801569985082274,0.974,0.845,4.7446303189431e-07,"11","Rpl17"
"Zc3hav11",2.870436525738e-11,0.571035352348228,0.632,0.204,4.76090602158905e-07,"11","Zc3hav1"
